filter,stage,index,value,fractional_bits
fir,0,0,0,17
fir,0,1,0,17
fir,0,2,0,17
fir,0,3,0,17
fir,0,4,0,17
fir,0,5,2,17
fir,0,6,4,17
fir,0,7,6,17
fir,0,8,9,17
fir,0,9,13,17
fir,0,10,15,17
fir,0,11,16,17
fir,0,12,14,17
fir,0,13,9,17
fir,0,14,-1,17
fir,0,15,-17,17
fir,0,16,-37,17
fir,0,17,-60,17
fir,0,18,-85,17
fir,0,19,-108,17
fir,0,20,-124,17
fir,0,21,-129,17
fir,0,22,-117,17
fir,0,23,-85,17
fir,0,24,-30,17
fir,0,25,48,17
fir,0,26,145,17
fir,0,27,256,17
fir,0,28,368,17
fir,0,29,469,17
fir,0,30,542,17
fir,0,31,570,17
fir,0,32,538,17
fir,0,33,432,17
fir,0,34,247,17
fir,0,35,-16,17
fir,0,36,-345,17
fir,0,37,-720,17
fir,0,38,-1108,17
fir,0,39,-1468,17
fir,0,40,-1753,17
fir,0,41,-1913,17
fir,0,42,-1898,17
fir,0,43,-1667,17
fir,0,44,-1188,17
fir,0,45,-444,17
fir,0,46,560,17
fir,0,47,1803,17
fir,0,48,3239,17
fir,0,49,4806,17
fir,0,50,6426,17
fir,0,51,8009,17
fir,0,52,9466,17
fir,0,53,10707,17
fir,0,54,11655,17
fir,0,55,12249,17
fir,0,56,12452,17
fir,0,57,12249,17
fir,0,58,11655,17
fir,0,59,10707,17
fir,0,60,9466,17
fir,0,61,8009,17
fir,0,62,6426,17
fir,0,63,4806,17
fir,0,64,3239,17
fir,0,65,1803,17
fir,0,66,560,17
fir,0,67,-444,17
fir,0,68,-1188,17
fir,0,69,-1667,17
fir,0,70,-1898,17
fir,0,71,-1913,17
fir,0,72,-1753,17
fir,0,73,-1468,17
fir,0,74,-1108,17
fir,0,75,-720,17
fir,0,76,-345,17
fir,0,77,-16,17
fir,0,78,247,17
fir,0,79,432,17
fir,0,80,538,17
fir,0,81,570,17
fir,0,82,542,17
fir,0,83,469,17
fir,0,84,368,17
fir,0,85,256,17
fir,0,86,145,17
fir,0,87,48,17
fir,0,88,-30,17
fir,0,89,-85,17
fir,0,90,-117,17
fir,0,91,-129,17
fir,0,92,-124,17
fir,0,93,-108,17
fir,0,94,-85,17
fir,0,95,-60,17
fir,0,96,-37,17
