harmonic,f0_hz,bandwidth_hz,q,b0,b1,b2,a0,a1,a2,zero_0,zero_1,pole_0,pole_1,pole_radius
1,60,2,30,0.99937207592298405,-1.9973239894416193,0.99937207592298405,1,-1.9973239894416193,0.9987441518459681,0.99928947264058909+0.037690182669937143j,0.99928947264058909-0.037690182669937143j,0.99866199472080985+0.037661281792070692j,0.99866199472080985-0.037661281792070692j,0.99937187865477217
2,120,2,60,0.99937207592298405,-1.9930655203570591,0.99937207592298405,1,-1.9930655203570591,0.9987441518459681,0.99715890026061393+0.075326805527931959j,0.99715890026061393-0.075326805527931959j,0.99653276017852943+0.075276887136287801j,0.99653276017852943-0.075276887136287801j,0.99937187865477173
3,180,2,90,0.99937207592298405,-1.985974796109875,0.99937207592298405,1,-1.985974796109875,0.9987441518459681,0.99361131052000862+0.11285638487348132j,0.99361131052000862-0.11285638487348132j,0.99298739805493752+0.11278377166087797j,0.99298739805493752-0.11278377166087797j,0.99937187865477173
4,240,2,120,0.99937207592298405,-1.9760618930072187,0.99937207592298405,1,-1.9760618930072187,0.9987441518459681,0.98865174473791395+0.1502255891207567j,0.98865174473791395-0.1502255891207567j,0.98803094650360945+0.15012994570421306j,0.98803094650360945-0.15012994570421306j,0.99937187865477184
5,300,2,150,0.99937207592298405,-1.9633408978268208,0.99937207592298405,1,-1.9633408978268208,0.9987441518459681,0.98228725072868861+0.18738131458572443j,0.98228725072868861-0.18738131458572443j,0.98167044891341049+0.1872626005803385j,0.98167044891341049-0.1872626005803385j,0.99937187865477184
6,360,2,180,0.99937207592298405,-1.9478298877989106,0.99937207592298405,1,-1.9478298877989106,0.9987441518459681,0.97452687278657701+0.22427076094938125j,0.97452687278657701-0.22427076094938125j,0.97391494389945521+0.22412905633872843j,0.97391494389945521-0.22412905633872843j,0.99937187865477173
7,420,2,210,0.99937207592298405,-1.9295509049174826,0.99937207592298405,1,-1.9295509049174826,0.9987441518459681,0.96538163883327388+0.26084150628989672j,0.96538163883327388-0.26084150628989672j,0.96477545245874108+0.26067696135063267j,0.96477545245874108-0.26067696135063267j,0.99937187865477184
8,480,2,240,0.99937207592298405,-1.9085299246174152,0.99937207592298405,1,-1.9085299246174152,0.9987441518459681,0.95486454474664284+0.29704158157703492j,0.95486454474664284-0.29704158157703492j,0.95426496230870772+0.29685439790565543j,0.95426496230870772-0.29685439790565543j,0.99937187865477228
9,540,2,270,0.99937207592298405,-1.8847968188619584,0.99937207592298405,1,-1.8847968188619584,0.9987441518459681,0.94299053589286452+0.33281954452298634j,0.94299053589286452-0.33281954452298634j,0.94239840943097919+0.33260996639897711j,0.94239840943097919-0.33260996639897711j,0.99937187865477184
10,600,2,300,0.99937207592298405,-1.8583853136930379,0.99937207592298405,1,-1.8583853136930379,0.9987441518459681,0.92977648588825146+0.36812455268467764j,0.92977648588825146-0.36812455268467764j,0.92919265684651897+0.36789286254081544j,0.92919265684651897-0.36789286254081544j,0.99937187865477195
